type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INS	1	1	0	667	1	0.0015	0.003	143.62	toilvg	calls	s1	1
DEL	0	0	0	651	NA	0	NA	143.62	toilvg	calls	s1	1
Total	67	67	0	1252	1	0.0508	0.0967	0	svtyper	calls	s1	1
INS	0	0	0	668	NA	0	NA	0	svtyper	calls	s1	1
DEL	67	67	0	584	1	0.1029	0.1866	0	svtyper	calls	s1	1
Total	67	67	0	1252	1	0.0508	0.0967	21.31	svtyper	calls	s1	1
INS	0	0	0	668	NA	0	NA	21.31	svtyper	calls	s1	1
DEL	67	67	0	584	1	0.1029	0.1866	21.31	svtyper	calls	s1	1
Total	64	64	0	1255	1	0.0485	0.0925	31.46	svtyper	calls	s1	1
INS	0	0	0	668	NA	0	NA	31.46	svtyper	calls	s1	1
DEL	64	64	0	587	1	0.0983	0.179	31.46	svtyper	calls	s1	1
Total	16	16	0	1303	1	0.0121	0.0239	60.25	svtyper	calls	s1	1
INS	0	0	0	668	NA	0	NA	60.25	svtyper	calls	s1	1
DEL	16	16	0	635	1	0.0246	0.048	60.25	svtyper	calls	s1	1
Total	2	2	0	1317	1	0.0015	0.003	118.56	svtyper	calls	s1	1
INS	0	0	0	668	NA	0	NA	118.56	svtyper	calls	s1	1
DEL	2	2	0	649	1	0.0031	0.0062	118.56	svtyper	calls	s1	1
Total	53	53	0	1266	1	0.0402	0.0773	0	delly	calls	s1	1
INS	17	17	0	651	1	0.0254	0.0495	0	delly	calls	s1	1
DEL	36	36	0	615	1	0.0553	0.1048	0	delly	calls	s1	1
Total	107	107	0	1212	1	0.0811	0.15	0	bayestyper	calls	s1	1
INS	105	105	0	563	1	0.1572	0.2717	0	bayestyper	calls	s1	1
DEL	2	2	0	649	1	0.0031	0.0062	0	bayestyper	calls	s1	1
Total	107	107	0	1212	1	0.0811	0.15	23.9794	bayestyper	calls	s1	1
INS	105	105	0	563	1	0.1572	0.2717	23.9794	bayestyper	calls	s1	1
DEL	2	2	0	649	1	0.0031	0.0062	23.9794	bayestyper	calls	s1	1
Total	103	103	0	1216	1	0.0781	0.1449	99	bayestyper	calls	s1	1
INS	101	101	0	567	1	0.1512	0.2627	99	bayestyper	calls	s1	1
DEL	2	2	0	649	1	0.0031	0.0062	99	bayestyper	calls	s1	1
Total	539	539	2	780	0.9963	0.4086	0.5795	0	toilvg	truth	s1	1
INS	203	203	0	465	1	0.3039	0.4661	0	toilvg	truth	s1	1
DEL	336	336	2	315	0.9941	0.5161	0.6795	0	toilvg	truth	s1	1
Total	539	539	2	780	0.9963	0.4086	0.5795	19	toilvg	truth	s1	1
INS	203	203	0	465	1	0.3039	0.4661	19	toilvg	truth	s1	1
