type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INS	235	235	0	154	1	0.6041	0.7532	0	delly	truth	s0	1
DEL	179	179	0	241	1	0.4262	0.5977	0	delly	truth	s0	1
Total	414	414	0	395	1	0.5117	0.677	5	delly	truth	s0	1
INS	235	235	0	154	1	0.6041	0.7532	5	delly	truth	s0	1
DEL	179	179	0	241	1	0.4262	0.5977	5	delly	truth	s0	1
Total	228	228	0	581	1	0.2818	0.4397	7	delly	truth	s0	1
INS	148	148	0	241	1	0.3805	0.5512	7	delly	truth	s0	1
DEL	80	80	0	340	1	0.1905	0.32	7	delly	truth	s0	1
Total	121	121	0	688	1	0.1496	0.2603	10	delly	truth	s0	1
INS	81	81	0	308	1	0.2082	0.3446	10	delly	truth	s0	1
DEL	40	40	0	380	1	0.0952	0.1738	10	delly	truth	s0	1
Total	42	42	0	767	1	0.0519	0.0987	25	delly	truth	s0	1
INS	21	21	0	368	1	0.054	0.1025	25	delly	truth	s0	1
DEL	21	21	0	399	1	0.05	0.0952	25	delly	truth	s0	1
Total	1	1	0	808	1	0.0012	0.0024	63	delly	truth	s0	1
INS	1	1	0	388	1	0.0026	0.0052	63	delly	truth	s0	1
DEL	0	0	0	420	NA	0	NA	63	delly	truth	s0	1
Total	360	360	2	449	0.9945	0.445	0.6149	0	bayestyper	truth	s0	1
INS	212	212	0	177	1	0.545	0.7055	0	bayestyper	truth	s0	1
DEL	148	148	2	272	0.9867	0.3524	0.5193	0	bayestyper	truth	s0	1
Total	360	360	2	449	0.9945	0.445	0.6149	3.14617	bayestyper	truth	s0	1
INS	212	212	0	177	1	0.545	0.7055	3.14617	bayestyper	truth	s0	1
DEL	148	148	2	272	0.9867	0.3524	0.5193	3.14617	bayestyper	truth	s0	1
Total	323	323	1	486	0.9969	0.3993	0.5702	11.23096	bayestyper	truth	s0	1
INS	192	192	0	197	1	0.4936	0.661	11.23096	bayestyper	truth	s0	1
DEL	131	131	1	289	0.9924	0.3119	0.4746	11.23096	bayestyper	truth	s0	1
Total	321	321	0	488	1	0.3968	0.5682	99	bayestyper	truth	s0	1
INS	190	190	0	199	1	0.4884	0.6563	99	bayestyper	truth	s0	1
DEL	131	131	0	289	1	0.3119	0.4755	99	bayestyper	truth	s0	1
Total	211	211	0	621	1	0.2536	0.4046	0	toilvg	calls	s1	1
INS	112	112	0	264	1	0.2979	0.459	0	toilvg	calls	s1	1
DEL	99	99	0	357	1	0.2171	0.3567	0	toilvg	calls	s1	1
Total	211	211	0	621	1	0.2536	0.4046	17	toilvg	calls	s1	1
INS	112	112	0	264	1	0.2979	0.459	17	toilvg	calls	s1	1
DEL	99	99	0	357	1	0.2171	0.3567	17	toilvg	calls	s1	1
Total	187	187	0	645	1	0.2248	0.3671	33	toilvg	calls	s1	1
INS	108	108	0	268	1	0.2872	0.4462	33	toilvg	calls	s1	1
DEL	79	79	0	377	1	0.1732	0.2953	33	toilvg	calls	s1	1
Total	178	178	0	654	1	0.2139	0.3524	34	toilvg	calls	s1	1
INS	105	105	0	271	1	0.2793	0.4366	34	toilvg	calls	s1	1
DEL	73	73	0	383	1	0.1601	0.276	34	toilvg	calls	s1	1
Total	147	147	0	685	1	0.1767	0.3003	36.10398	toilvg	calls	s1	1
INS	97	97	0	279	1	0.258	0.4102	36.10398	toilvg	calls	s1	1
DEL	50	50	0	406	1	0.1096	0.1975	36.10398	toilvg	calls	s1	1
Total	136	136	0	696	1	0.1635	0.281	39	toilvg	calls	s1	1
INS	95	95	0	281	1	0.2527	0.4034	39	toilvg	calls	s1	1
DEL	41	41	0	415	1	0.0899	0.165	39	toilvg	calls	s1	1
Total	111	111	0	721	1	0.1334	0.2354	43.9666	toilvg	calls	s1	1
INS	84	84	0	292	1	0.2234	0.3652	43.9666	toilvg	calls	s1	1
DEL	27	27	0	429	1	0.0592	0.1118	43.9666	toilvg	calls	s1	1
Total	100	100	0	732	1	0.1202	0.2146	56.6907	toilvg	calls	s1	1
INS	75	75	0	301	1	0.1995	0.3326	56.6907	toilvg	calls	s1	1
DEL	25	25	0	431	1	0.0548	0.1039	56.6907	toilvg	calls	s1	1
Total	75	75	0	757	1	0.0901	0.1653	66.75054	toilvg	calls	s1	1
INS	57	57	0	319	1	0.1516	0.2633	66.75054	toilvg	calls	s1	1
DEL	18	18	0	438	1	0.0395	0.076	66.75054	toilvg	calls	s1	1
Total	51	51	0	781	1	0.0613	0.1155	74.19732	toilvg	calls	s1	1
INS	44	44	0	332	1	0.117	0.2095	74.19732	toilvg	calls	s1	1
DEL	7	7	0	449	1	0.0154	0.0303	74.19732	toilvg	calls	s1	1
Total	28	28	0	804	1	0.0337	0.0652	93.14492	toilvg	calls	s1	1
INS	23	23	0	353	1	0.0612	0.1153	93.14492	toilvg	calls	s1	1
DEL	5	5	0	451	1	0.011	0.0218	93.14492	toilvg	calls	s1	1
Total	1	1	0	831	1	0.0012	0.0024	190.989	toilvg	calls	s1	1
INS	1	1	0	375	1	0.0027	0.0054	190.989	toilvg	calls	s1	1
DEL	0	0	0	456	NA	0	NA	190.989	toilvg	calls	s1	1
Total	16	16	0	816	1	0.0192	0.0377	0	svtyper	calls	s1	1
INS	0	0	0	376	NA	0	NA	0	svtyper	calls	s1	1
DEL	16	16	0	440	1	0.0351	0.0678	0	svtyper	calls	s1	1
Total	16	16	0	816	1	0.0192	0.0377	18.1	svtyper	calls	s1	1
INS	0	0	0	376	NA	0	NA	18.1	svtyper	calls	s1	1
DEL	16	16	0	440	1	0.0351	0.0678	18.1	svtyper	calls	s1	1
Total	16	16	0	816	1	0.0192	0.0377	31.46	svtyper	calls	s1	1
INS	0	0	0	376	NA	0	NA	31.46	svtyper	calls	s1	1
DEL	16	16	0	440	1	0.0351	0.0678	31.46	svtyper	calls	s1	1
Total	1	1	0	831	1	0.0012	0.0024	60.25	svtyper	calls	s1	1
INS	0	0	0	376	NA	0	NA	60.25	svtyper	calls	s1	1
DEL	1	1	0	455	1	0.0022	0.0044	60.25	svtyper	calls	s1	1
Total	1	1	0	831	1	0.0012	0.0024	89.31	svtyper	calls	s1	1
INS	0	0	0	376	NA	0	NA	89.31	svtyper	calls	s1	1
DEL	1	1	0	455	1	0.0022	0.0044	89.31	svtyper	calls	s1	1
Total	74	73	0	759	1	0.0877	0.1613	0	delly	calls	s1	1
INS	44	44	0	332	1	0.117	0.2095	0	delly	calls	s1	1
DEL	30	29	0	427	1	0.0636	0.1196	0	delly	calls	s1	1
Total	74	73	0	759	1	0.0877	0.1613	5	delly	calls	s1	1
INS	44	44	0	332	1	0.117	0.2095	5	delly	calls	s1	1
DEL	30	29	0	427	1	0.0636	0.1196	5	delly	calls	s1	1
Total	40	39	0	793	1	0.0469	0.0896	7	delly	calls	s1	1
INS	23	23	0	353	1	0.0612	0.1153	7	delly	calls	s1	1
DEL	17	16	0	440	1	0.0351	0.0678	7	delly	calls	s1	1
Total	16	16	0	816	1	0.0192	0.0377	15	delly	calls	s1	1
INS	10	10	0	366	1	0.0266	0.0518	15	delly	calls	s1	1
DEL	6	6	0	450	1	0.0132	0.0261	15	delly	calls	s1	1
Total	8	8	0	824	1	0.0096	0.019	26	delly	calls	s1	1
INS	5	5	0	371	1	0.0133	0.0263	26	delly	calls	s1	1
DEL	3	3	0	453	1	0.0066	0.0131	26	delly	calls	s1	1
Total	1	1	0	831	1	0.0012	0.0024	59	delly	calls	s1	1
INS	1	1	0	375	1	0.0027	0.0054	59	delly	calls	s1	1
DEL	0	0	0	456	NA	0	NA	59	delly	calls	s1	1
Total	121	121	0	711	1	0.1454	0.2539	0	bayestyper	calls	s1	1
INS	117	117	0	259	1	0.3112	0.4747	0	bayestyper	calls	s1	1
DEL	4	4	0	452	1	0.0088	0.0174	0	bayestyper	calls	s1	1
Total	121	121	0	711	1	0.1454	0.2539	3.10691	bayestyper	calls	s1	1
INS	117	117	0	259	1	0.3112	0.4747	3.10691	bayestyper	calls	s1	1
DEL	4	4	0	452	1	0.0088	0.0174	3.10691	bayestyper	calls	s1	1
Total	109	109	0	723	1	0.131	0.2317	5.790217	bayestyper	calls	s1	1
INS	106	106	0	270	1	0.2819	0.4398	5.790217	bayestyper	calls	s1	1
DEL	3	3	0	453	1	0.0066	0.0131	5.790217	bayestyper	calls	s1	1
Total	95	95	0	737	1	0.1142	0.205	7.13095	bayestyper	calls	s1	1
INS	93	93	0	283	1	0.2473	0.3965	7.13095	bayestyper	calls	s1	1
DEL	2	2	0	454	1	0.0044	0.0088	7.13095	bayestyper	calls	s1	1
Total	75	75	0	757	1	0.0901	0.1653	11.45576	bayestyper	calls	s1	1
