type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	246	246	361	1743	0.4053	0.1237	0.1895	6	bayestyper	calls	s0	1
INS	149	149	104	528	0.5889	0.2201	0.3204	6	bayestyper	calls	s0	1
DEL	1	1	2	668	0.3333	0.0015	0.003	6	bayestyper	calls	s0	1
INV	96	96	255	547	0.2735	0.1493	0.1932	6	bayestyper	calls	s0	1
Total	211	211	306	1778	0.4081	0.1061	0.1684	9	bayestyper	calls	s0	1
INS	136	136	96	541	0.5862	0.2009	0.2992	9	bayestyper	calls	s0	1
DEL	1	1	2	668	0.3333	0.0015	0.003	9	bayestyper	calls	s0	1
INV	74	74	208	569	0.2624	0.1151	0.16	9	bayestyper	calls	s0	1
Total	191	191	254	1798	0.4292	0.096	0.1569	13	bayestyper	calls	s0	1
INS	127	127	88	550	0.5907	0.1876	0.2848	13	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	13	bayestyper	calls	s0	1
INV	63	63	165	580	0.2763	0.098	0.1447	13	bayestyper	calls	s0	1
Total	171	171	203	1818	0.4572	0.086	0.1448	15	bayestyper	calls	s0	1
INS	126	126	82	551	0.6058	0.1861	0.2847	15	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	15	bayestyper	calls	s0	1
INV	44	44	120	599	0.2683	0.0684	0.109	15	bayestyper	calls	s0	1
Total	145	145	125	1844	0.537	0.0729	0.1284	18	bayestyper	calls	s0	1
INS	124	124	80	553	0.6078	0.1832	0.2815	18	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	18	bayestyper	calls	s0	1
INV	20	20	44	623	0.3125	0.0311	0.0566	18	bayestyper	calls	s0	1
Total	121	121	73	1868	0.6237	0.0608	0.1108	99	bayestyper	calls	s0	1
INS	120	120	72	557	0.625	0.1773	0.2762	99	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	99	bayestyper	calls	s0	1
INV	0	0	0	643	NA	0	NA	99	bayestyper	calls	s0	1
Total	593	596	195	1393	0.7525	0.2996	0.4286	0	toilvg	truth	s0	1
INS	191	191	52	486	0.786	0.2821	0.4152	0	toilvg	truth	s0	1
DEL	245	245	98	424	0.7143	0.3662	0.4842	0	toilvg	truth	s0	1
INV	157	160	45	483	0.7772	0.2488	0.3769	0	toilvg	truth	s0	1
Total	593	596	195	1393	0.7525	0.2996	0.4286	4	toilvg	truth	s0	1
INS	191	191	52	486	0.786	0.2821	0.4152	4	toilvg	truth	s0	1
DEL	245	245	98	424	0.7143	0.3662	0.4842	4	toilvg	truth	s0	1
INV	157	160	45	483	0.7772	0.2488	0.3769	4	toilvg	truth	s0	1
Total	549	552	181	1437	0.7521	0.2775	0.4054	33	toilvg	truth	s0	1
INS	187	187	51	490	0.7857	0.2762	0.4087	33	toilvg	truth	s0	1
DEL	205	205	85	464	0.7069	0.3064	0.4275	33	toilvg	truth	s0	1
INV	157	160	45	483	0.7772	0.2488	0.3769	33	toilvg	truth	s0	1
Total	488	491	151	1498	0.7637	0.2469	0.3732	35	toilvg	truth	s0	1
INS	180	180	49	497	0.786	0.2659	0.3974	35	toilvg	truth	s0	1
DEL	159	159	57	510	0.7361	0.2377	0.3594	35	toilvg	truth	s0	1
INV	149	152	45	491	0.768	0.2364	0.3615	35	toilvg	truth	s0	1
Total	431	433	127	1556	0.7724	0.2177	0.3397	38	toilvg	truth	s0	1
INS	165	165	41	512	0.801	0.2437	0.3737	38	toilvg	truth	s0	1
DEL	130	130	49	539	0.7263	0.1943	0.3066	38	toilvg	truth	s0	1
INV	136	138	37	505	0.7861	0.2146	0.3372	38	toilvg	truth	s0	1
Total	403	405	109	1584	0.7871	0.2036	0.3235	40	toilvg	truth	s0	1
INS	158	158	35	519	0.8187	0.2334	0.3632	40	toilvg	truth	s0	1
DEL	117	117	41	552	0.7405	0.1749	0.283	40	toilvg	truth	s0	1
INV	128	130	33	513	0.795	0.2022	0.3224	40	toilvg	truth	s0	1
Total	318	320	76	1669	0.8071	0.1609	0.2683	47.2757	toilvg	truth	s0	1
INS	126	126	23	551	0.8456	0.1861	0.3051	47.2757	toilvg	truth	s0	1
DEL	88	88	25	581	0.7788	0.1315	0.225	47.2757	toilvg	truth	s0	1
INV	104	106	28	537	0.7879	0.1649	0.2727	47.2757	toilvg	truth	s0	1
Total	254	256	60	1733	0.8089	0.1287	0.2221	58.42238	toilvg	truth	s0	1
INS	88	88	19	589	0.8224	0.13	0.2245	58.42238	toilvg	truth	s0	1
DEL	84	84	24	585	0.7778	0.1256	0.2163	58.42238	toilvg	truth	s0	1
INV	82	84	17	559	0.8283	0.1306	0.2256	58.42238	toilvg	truth	s0	1
Total	196	198	43	1791	0.8201	0.0995	0.1775	68	toilvg	truth	s0	1
INS	64	64	12	613	0.8421	0.0945	0.1699	68	toilvg	truth	s0	1
DEL	63	63	19	606	0.7683	0.0942	0.1678	68	toilvg	truth	s0	1
INV	69	71	12	572	0.8519	0.1104	0.1955	68	toilvg	truth	s0	1
Total	133	135	23	1854	0.8526	0.0679	0.1258	73.57488	toilvg	truth	s0	1
INS	44	44	8	633	0.8462	0.065	0.1207	73.57488	toilvg	truth	s0	1
DEL	39	39	8	630	0.8298	0.0583	0.1089	73.57488	toilvg	truth	s0	1
INV	50	52	7	591	0.8772	0.0809	0.1481	73.57488	toilvg	truth	s0	1
Total	70	72	7	1917	0.9091	0.0362	0.0696	95.7042400000001	toilvg	truth	s0	1
INS	23	23	2	654	0.92	0.034	0.0656	95.7042400000001	toilvg	truth	s0	1
DEL	22	22	3	647	0.88	0.0329	0.0634	95.7042400000001	toilvg	truth	s0	1
INV	25	27	2	616	0.9259	0.042	0.0804	95.7042400000001	toilvg	truth	s0	1
Total	1	1	0	1988	1	5e-04	0.001	210.35	toilvg	truth	s0	1
INS	1	1	0	676	1	0.0015	0.003	210.35	toilvg	truth	s0	1
DEL	0	0	0	669	NA	0	NA	210.35	toilvg	truth	s0	1
INV	0	0	0	643	NA	0	NA	210.35	toilvg	truth	s0	1
Total	210	210	74	1779	0.7394	0.1056	0.1848	0	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	0	svtyper	truth	s0	1
DEL	90	90	26	579	0.7759	0.1345	0.2293	0	svtyper	truth	s0	1
INV	120	120	48	523	0.7143	0.1866	0.2959	0	svtyper	truth	s0	1
Total	210	210	74	1779	0.7394	0.1056	0.1848	1	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	1	svtyper	truth	s0	1
DEL	90	90	26	579	0.7759	0.1345	0.2293	1	svtyper	truth	s0	1
INV	120	120	48	523	0.7143	0.1866	0.2959	1	svtyper	truth	s0	1
Total	206	206	74	1783	0.7357	0.1036	0.1816	2	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	2	svtyper	truth	s0	1
DEL	87	87	26	582	0.7699	0.13	0.2224	2	svtyper	truth	s0	1
INV	119	119	48	524	0.7126	0.1851	0.2939	2	svtyper	truth	s0	1
Total	100	100	15	1889	0.8696	0.0503	0.0951	4	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	4	svtyper	truth	s0	1
DEL	27	27	6	642	0.8182	0.0404	0.077	4	svtyper	truth	s0	1
INV	73	73	9	570	0.8902	0.1135	0.2013	4	svtyper	truth	s0	1
Total	92	92	15	1897	0.8598	0.0463	0.0879	5	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	5	svtyper	truth	s0	1
DEL	25	25	6	644	0.8065	0.0374	0.0715	5	svtyper	truth	s0	1
INV	67	67	9	576	0.8816	0.1042	0.1864	5	svtyper	truth	s0	1
Total	46	46	3	1943	0.9388	0.0231	0.0451	7	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	7	svtyper	truth	s0	1
DEL	10	10	0	659	1	0.0149	0.0294	7	svtyper	truth	s0	1
INV	36	36	3	607	0.9231	0.056	0.1056	7	svtyper	truth	s0	1
Total	1	1	0	1988	1	5e-04	0.001	22	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	22	svtyper	truth	s0	1
DEL	0	0	0	669	NA	0	NA	22	svtyper	truth	s0	1
INV	1	1	0	642	1	0.0016	0.0032	22	svtyper	truth	s0	1
Total	432	432	137	1557	0.7592	0.2172	0.3378	0	delly	truth	s0	1
INS	185	185	75	492	0.7115	0.2733	0.3949	0	delly	truth	s0	1
DEL	247	247	62	422	0.7994	0.3692	0.5051	0	delly	truth	s0	1
INV	0	0	0	643	NA	0	NA	0	delly	truth	s0	1
Total	432	432	137	1557	0.7592	0.2172	0.3378	5	delly	truth	s0	1
INS	185	185	75	492	0.7115	0.2733	0.3949	5	delly	truth	s0	1
DEL	247	247	62	422	0.7994	0.3692	0.5051	5	delly	truth	s0	1
INV	0	0	0	643	NA	0	NA	5	delly	truth	s0	1
Total	264	264	43	1725	0.8599	0.1327	0.2299	7	delly	truth	s0	1
INS	141	141	33	536	0.8103	0.2083	0.3314	7	delly	truth	s0	1
DEL	123	123	10	546	0.9248	0.1839	0.3068	7	delly	truth	s0	1
INV	0	0	0	643	NA	0	NA	7	delly	truth	s0	1
Total	157	157	13	1832	0.9235	0.0789	0.1454	10	delly	truth	s0	1
INS	82	82	12	595	0.8723	0.1211	0.2127	10	delly	truth	s0	1
DEL	75	75	1	594	0.9868	0.1121	0.2013	10	delly	truth	s0	1
INV	0	0	0	643	NA	0	NA	10	delly	truth	s0	1
Total	61	61	0	1928	1	0.0307	0.0596	25	delly	truth	s0	1
INS	24	24	0	653	1	0.0355	0.0686	25	delly	truth	s0	1
