type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INV	99	105	30	305	0.7674	0.2561	0.384	6	toilvg	calls	s1	1
Total	326	336	109	915	0.7494	0.2686	0.3955	33	toilvg	calls	s1	1
INS	104	105	29	308	0.782	0.2542	0.3837	33	toilvg	calls	s1	1
DEL	127	131	51	297	0.7135	0.3061	0.4284	33	toilvg	calls	s1	1
INV	95	100	29	310	0.7661	0.2439	0.37	33	toilvg	calls	s1	1
Total	314	324	103	927	0.753	0.259	0.3854	34	toilvg	calls	s1	1
INS	101	102	28	311	0.7829	0.247	0.3755	34	toilvg	calls	s1	1
DEL	118	122	46	306	0.7195	0.285	0.4083	34	toilvg	calls	s1	1
INV	95	100	29	310	0.7661	0.2439	0.37	34	toilvg	calls	s1	1
Total	268	272	77	979	0.7768	0.2174	0.3397	37	toilvg	calls	s1	1
INS	91	92	21	321	0.8125	0.2228	0.3497	37	toilvg	calls	s1	1
DEL	88	88	32	340	0.7333	0.2056	0.3212	37	toilvg	calls	s1	1
INV	89	92	24	318	0.7876	0.2244	0.3493	37	toilvg	calls	s1	1
Total	236	240	61	1011	0.7946	0.1918	0.309	39.7746	toilvg	calls	s1	1
INS	85	86	17	327	0.8333	0.2082	0.3332	39.7746	toilvg	calls	s1	1
DEL	71	71	22	357	0.7634	0.1659	0.2726	39.7746	toilvg	calls	s1	1
INV	80	83	22	327	0.7843	0.2024	0.3218	39.7746	toilvg	calls	s1	1
Total	205	208	44	1043	0.8233	0.1663	0.2767	42.96945	toilvg	calls	s1	1
INS	76	77	11	336	0.8736	0.1864	0.3072	42.96945	toilvg	calls	s1	1
DEL	55	55	13	373	0.8088	0.1285	0.2218	42.96945	toilvg	calls	s1	1
INV	74	76	20	334	0.7872	0.1854	0.3001	42.96945	toilvg	calls	s1	1
Total	170	170	40	1081	0.8095	0.1359	0.2327	56	toilvg	calls	s1	1
INS	64	65	8	348	0.8889	0.1574	0.2674	56	toilvg	calls	s1	1
DEL	50	50	13	378	0.7937	0.1168	0.2036	56	toilvg	calls	s1	1
INV	56	55	19	355	0.7467	0.1341	0.2274	56	toilvg	calls	s1	1
Total	136	137	31	1114	0.8144	0.1095	0.193	67	toilvg	calls	s1	1
INS	53	54	5	359	0.9138	0.1308	0.2288	67	toilvg	calls	s1	1
DEL	42	42	11	386	0.7925	0.0981	0.1746	67	toilvg	calls	s1	1
INV	41	41	15	369	0.7321	0.1	0.176	67	toilvg	calls	s1	1
Total	92	93	13	1158	0.8762	0.0743	0.137	74.40554	toilvg	calls	s1	1
INS	43	44	2	369	0.9556	0.1065	0.1916	74.40554	toilvg	calls	s1	1
DEL	21	21	3	407	0.875	0.0491	0.093	74.40554	toilvg	calls	s1	1
INV	28	28	8	382	0.7778	0.0683	0.1256	74.40554	toilvg	calls	s1	1
Total	47	48	6	1203	0.8868	0.0384	0.0736	91.8506300000001	toilvg	calls	s1	1
INS	26	26	1	387	0.963	0.063	0.1183	91.8506300000001	toilvg	calls	s1	1
DEL	9	9	1	419	0.9	0.021	0.041	91.8506300000001	toilvg	calls	s1	1
INV	12	13	4	397	0.75	0.0317	0.0608	91.8506300000001	toilvg	calls	s1	1
Total	1	1	0	1250	1	8e-04	0.0016	209.363	toilvg	calls	s1	1
INS	1	1	0	412	1	0.0024	0.0048	209.363	toilvg	calls	s1	1
DEL	0	0	0	428	NA	0	NA	209.363	toilvg	calls	s1	1
