type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	NA	NA	NA	NA	NA	NA	NA	35	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	35	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	35	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	35	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	45	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	45	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	45	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	45	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	50	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	50	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	50	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	50	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	60	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	60	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	60	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	60	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	75	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	75	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	75	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	75	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	90	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	90	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	90	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	90	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	99	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	99	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	99	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	99	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	110	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	110	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	110	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	110	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	133	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	133	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	133	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	133	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	167	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	167	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	167	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	167	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	180	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	180	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	180	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	180	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	250	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	250	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	250	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	250	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	350	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	350	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	350	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	350	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	450	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	450	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	450	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	450	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	550	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	550	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	550	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	550	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	650	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	650	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	650	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	650	svtyper	calls	s0	1
Total	94	94	0	1895	1	0.0473	0.0903	0	delly	calls	s0	1
INS	48	48	0	629	1	0.0709	0.1324	0	delly	calls	s0	1
DEL	46	46	0	623	1	0.0688	0.1287	0	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	0	delly	calls	s0	1
Total	94	94	0	1895	1	0.0473	0.0903	2	delly	calls	s0	1
INS	48	48	0	629	1	0.0709	0.1324	2	delly	calls	s0	1
DEL	46	46	0	623	1	0.0688	0.1287	2	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	2	delly	calls	s0	1
Total	94	94	0	1895	1	0.0473	0.0903	3	delly	calls	s0	1
INS	48	48	0	629	1	0.0709	0.1324	3	delly	calls	s0	1
DEL	46	46	0	623	1	0.0688	0.1287	3	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	3	delly	calls	s0	1
Total	94	94	0	1895	1	0.0473	0.0903	4	delly	calls	s0	1
INS	48	48	0	629	1	0.0709	0.1324	4	delly	calls	s0	1
DEL	46	46	0	623	1	0.0688	0.1287	4	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	4	delly	calls	s0	1
Total	94	94	0	1895	1	0.0473	0.0903	5	delly	calls	s0	1
INS	48	48	0	629	1	0.0709	0.1324	5	delly	calls	s0	1
DEL	46	46	0	623	1	0.0688	0.1287	5	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	5	delly	calls	s0	1
Total	48	48	0	1941	1	0.0241	0.0471	7	delly	calls	s0	1
INS	30	30	0	647	1	0.0443	0.0848	7	delly	calls	s0	1
DEL	18	18	0	651	1	0.0269	0.0524	7	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	7	delly	calls	s0	1
Total	23	23	0	1966	1	0.0116	0.0229	10	delly	calls	s0	1
INS	14	14	0	663	1	0.0207	0.0406	10	delly	calls	s0	1
DEL	9	9	0	660	1	0.0135	0.0266	10	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	10	delly	calls	s0	1
Total	14	14	0	1975	1	0.007	0.0139	12	delly	calls	s0	1
INS	7	7	0	670	1	0.0103	0.0204	12	delly	calls	s0	1
DEL	7	7	0	662	1	0.0105	0.0208	12	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	12	delly	calls	s0	1
Total	11	11	0	1978	1	0.0055	0.0109	14	delly	calls	s0	1
INS	5	5	0	672	1	0.0074	0.0147	14	delly	calls	s0	1
DEL	6	6	0	663	1	0.009	0.0178	14	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	14	delly	calls	s0	1
Total	10	10	0	1979	1	0.005	0.01	21	delly	calls	s0	1
INS	4	4	0	673	1	0.0059	0.0117	21	delly	calls	s0	1
DEL	6	6	0	663	1	0.009	0.0178	21	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	21	delly	calls	s0	1
Total	4	4	0	1985	1	0.002	0.004	27	delly	calls	s0	1
INS	1	1	0	676	1	0.0015	0.003	27	delly	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	27	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	27	delly	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	35	delly	calls	s0	1
INS	0	0	0	677	NA	0	NA	35	delly	calls	s0	1
DEL	1	1	0	668	1	0.0015	0.003	35	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	35	delly	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	45	delly	calls	s0	1
INS	0	0	0	677	NA	0	NA	45	delly	calls	s0	1
DEL	1	1	0	668	1	0.0015	0.003	45	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	45	delly	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	50	delly	calls	s0	1
INS	0	0	0	677	NA	0	NA	50	delly	calls	s0	1
DEL	1	1	0	668	1	0.0015	0.003	50	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	50	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	60	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	60	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	60	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	60	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	75	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	75	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	75	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	75	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	90	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	90	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	90	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	90	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	99	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	99	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	99	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	99	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	110	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	110	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	110	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	110	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	133	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	133	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	133	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	133	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	167	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	167	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	167	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	167	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	180	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	180	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	180	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	180	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	250	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	250	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	250	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	250	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	350	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	350	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	350	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	350	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	450	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	450	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	450	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	450	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	550	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	550	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	550	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	550	delly	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	650	delly	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	650	delly	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	650	delly	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	650	delly	calls	s0	1
Total	650	650	209	1339	0.7567	0.3268	0.4565	0	bayestyper	calls	s0	1
INS	290	290	0	387	1	0.4284	0.5998	0	bayestyper	calls	s0	1
DEL	5	5	0	664	1	0.0075	0.0149	0	bayestyper	calls	s0	1
INV	355	355	209	288	0.6294	0.5521	0.5882	0	bayestyper	calls	s0	1
Total	645	645	209	1344	0.7553	0.3243	0.4538	2	bayestyper	calls	s0	1
INS	287	287	0	390	1	0.4239	0.5954	2	bayestyper	calls	s0	1
DEL	5	5	0	664	1	0.0075	0.0149	2	bayestyper	calls	s0	1
INV	353	353	209	290	0.6281	0.549	0.5859	2	bayestyper	calls	s0	1
Total	612	612	175	1377	0.7776	0.3077	0.4409	3	bayestyper	calls	s0	1
INS	277	277	0	400	1	0.4092	0.5808	3	bayestyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	3	bayestyper	calls	s0	1
INV	332	332	175	311	0.6548	0.5163	0.5774	3	bayestyper	calls	s0	1
Total	578	578	138	1411	0.8073	0.2906	0.4274	4	bayestyper	calls	s0	1
INS	264	264	0	413	1	0.39	0.5612	4	bayestyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	4	bayestyper	calls	s0	1
INV	311	311	138	332	0.6927	0.4837	0.5696	4	bayestyper	calls	s0	1
Total	549	549	100	1440	0.8459	0.276	0.4162	5	bayestyper	calls	s0	1
INS	258	258	0	419	1	0.3811	0.5519	5	bayestyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	5	bayestyper	calls	s0	1
INV	288	288	100	355	0.7423	0.4479	0.5587	5	bayestyper	calls	s0	1
Total	508	508	61	1481	0.8928	0.2554	0.3972	7	bayestyper	calls	s0	1
INS	247	247	0	430	1	0.3648	0.5346	7	bayestyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	7	bayestyper	calls	s0	1
INV	258	258	61	385	0.8088	0.4012	0.5363	7	bayestyper	calls	s0	1
Total	471	471	31	1518	0.9382	0.2368	0.3782	10	bayestyper	calls	s0	1
INS	228	228	0	449	1	0.3368	0.5039	10	bayestyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	10	bayestyper	calls	s0	1
INV	240	240	31	403	0.8856	0.3733	0.5252	10	bayestyper	calls	s0	1
Total	445	445	22	1544	0.9529	0.2237	0.3623	12	bayestyper	calls	s0	1
INS	219	219	0	458	1	0.3235	0.4889	12	bayestyper	calls	s0	1
DEL	2	2	0	667	1	0.003	0.006	12	bayestyper	calls	s0	1
INV	224	224	22	419	0.9106	0.3484	0.504	12	bayestyper	calls	s0	1
Total	398	398	18	1591	0.9567	0.2001	0.331	14	bayestyper	calls	s0	1
INS	211	211	0	466	1	0.3117	0.4753	14	bayestyper	calls	s0	1
DEL	2	2	0	667	1	0.003	0.006	14	bayestyper	calls	s0	1
INV	185	185	18	458	0.9113	0.2877	0.4373	14	bayestyper	calls	s0	1
Total	215	215	1	1774	0.9954	0.1081	0.195	21	bayestyper	calls	s0	1
INS	203	203	0	474	1	0.2999	0.4614	21	bayestyper	calls	s0	1
DEL	2	2	0	667	1	0.003	0.006	21	bayestyper	calls	s0	1
